Kod,Tanım
10.84,"Baharat, sos, sirke ve diğer çeşni maddelerinin imalatı"
10.84.01,"Baharat imalatı (karabiber, kırmızı toz/pul biber, hardal unu, tarçın, yenibahar, damla sakızı, baharat karışımları vb.) (işlenmiş)"
10.84.02,Sirke ve sirke ikamelerinin imalatı
10.84.03,"Sos imalatı (soya sosu, ketçap, mayonez, hardal sosu, çemen, mango sosu vb.) (baharat, sirke ve salça hariç)"
10.84.05,Gıda tuzu imalatı
10.85,Hazır yemeklerin imalatı
10.85.01,Hazır yemek imalatı (vakumla paketlenmiş veya korunmuş olanlar) (lokanta ve catering hizmetleri hariç)
10.86,Homojenize gıda müstahzarları ve diyetetik gıdaların imalatı
10.86.04,Homojenize gıda müstahzarları ve diyetetik gıdaların imalatı
10.89,Başka yerde sınıflandırılmamış diğer gıda maddelerinin imalatı
10.89.01,"Hazır çorba (geleneksel ve yöresel olarak imal edilenler dahil) ile hazır et suyu, balık suyu, tavuk suyu ve konsantrelerinin imalatı"
10.89.02,Maya ve kabartma tozu imalatı (bira mayası dahil)
10.89.04,"Suni bal, karamela, kabuksuz yumurta, yumurta albümini vb. imalatı"
10.89.05,"Bitki özsu ve ekstreleri ile peptik maddeler, müsilaj ve kıvam arttırıcı maddelerin imalatı (kola konsantresi, malt özü, meyan balı dahil)"
10.89.99,"Başka yerde sınıflandırılmamış çeşitli gıda ürünleri imalatı (çabuk bozulan hazır gıdalar, peynir fondüleri, renklendirilmiş/tatlandırılmış şeker şurupları vb. dahil)"
10.9,Hazır hayvan yemleri imalatı
10.91,Çiftlik hayvanları için hazır yem imalatı
10.91.01,Çiftlik hayvanları için hazır yem imalatı
10.92,Ev hayvanları için hazır gıda imalatı
10.92.01,"Ev hayvanları için hazır gıda imalatı (kedi ve köpek mamaları, kuş ve balık yemleri vb.)"
11,İçeceklerin imalatı
11.0,İçeceklerin imalatı
11.01,"Alkollü içeceklerin damıtılması, arıtılması ve harmanlanması"
11.01.01,"Damıtılmış alkollü içeceklerin imalatı (viski, brendi, cin, likör, rakı, votka, kanyak vb.)"
11.01.02,Damıtılmış alkollü içeceklerle karıştırılmış içki imalatı
11.01.03,"Etil alkol üretimi (doğal özellikleri değiştirilmemiş/tağyir edilmemiş, alkol derecesi <%80)"
11.02,Üzümden şarap imalatı
11.02.01,"Üzümden şarap, köpüklü şarap, şampanya vb. imalatı"
11.02.02,Üzüm şırası imalatı
11.03,Elma şarabı ve diğer fermente meyve içeceklerinin imalatı
11.03.01,Elma şarabı ve diğer fermente meyve içeceklerinin imalatı
11.04,Diğer damıtılmamış fermente içeceklerin imalatı
11.04.02,Diğer damıtılmamış fermente içeceklerin imalatı (vermut ve benzeri içkiler dahil)
11.05,Bira imalatı
11.05.01,Bira imalatı
11.06,Malt imalatı
11.06.01,Malt imalatı
11.07,Alkolsüz içecek ve şişelenmiş su imalatı
11.07.01,Doğal veya suni maden sularının üretimi (tatlandırılmış ve aromalandırılmış olanlar dahil)
11.07.03,"İçme suyu üretimi (şişelenmiş, gazsız, tatlandırılmamış ve aromalandırılmamış)"
11.07.04,Boza imalatı
11.07.90,Diğer alkolsüz içeceklerin imalatı (içme suyu ve maden suları ile boza imalatı hariç)
12,Tütün ürünleri imalatı
12.0,Tütün ürünleri imalatı
12.00,Tütün ürünleri imalatı
12.00.04,Tütün ürünleri imalatı
13,Tekstil ürünlerinin imalatı
13.1,Tekstil elyafının hazırlanması ve bükülmesi
13.10,Tekstil elyafının hazırlanması ve bükülmesi
13.10.03,"Doğal pamuk elyafının imalatı (kardelenmesi, taraklanması vb.)"
13.10.05,"Doğal yün ve tiftik elyafının imalatı (kardelenmesi, taraklanması, yün yağının giderilmesi, karbonize edilmesi ve yapağının boyanması vb.)"
13.10.06,"Doğal jüt, keten ve diğer bitkisel tekstil elyaflarının imalatı (kardelenmesi, taraklanması vb.) (pamuk hariç)"
13.10.08,İpeğin kozadan ayrılması ve sarılması
13.10.09,Sentetik veya suni devamsız elyafın kardelenmesi ve taraklanması
13.10.10,Doğal ipeğin bükülmesi ve iplik haline getirilmesi
13.10.12,Pamuk elyafının bükülmesi ve iplik haline getirilmesi
13.10.13,Yün ve tiftik elyafının bükülmesi ve iplik haline getirilmesi
13.10.14,"Jüt, keten ve diğer bitkisel tekstil elyaflarının bükülmesi ve iplik haline getirilmesi (pamuk hariç)"
13.10.15,Suni ve sentetik elyafların bükülmesi ve iplik haline getirilmesi (filament ipliği ve suni ipek elyafı imalatı hariç)
13.2,Dokuma
13.20,Dokuma
13.20.14,Kot kumaşı imalatı
13.20.16,Pamuklu dokuma kumaş imalatı
13.20.17,Doğal kıl ve yünden dokuma kumaş imalatı
13.20.19,Doğal ipekten kumaş (doğal ipekten dokuma tül kumaş dahil) imalatı
13.20.20,"Keten, rami, kenevir, jüt elyafları ile diğer bitkisel tekstil elyaflarından dokuma kumaş (bitkisel elyaftan dokuma tül kumaş dahil) imalatı (pamuk hariç)"
13.20.21,"Havlı, şönil, havlu, pelüş, tırtıl ve benzeri ilmeği kesilmemiş dokuma kumaşlar ile tafting kumaş imalatı"
13.20.22,Suni ve sentetik filamentlerden ve devamsız elyaflardan dokuma kumaş imalatı
13.20.23,Dokuma yoluyla imitasyon kürk kumaş imalatı
13.3,Tekstil ürünlerinin bitirilmesi
13.30,Tekstil ürünlerinin bitirilmesi
13.30.01,Kumaş ve tekstil ürünlerini ağartma ve boyama hizmetleri (giyim eşyası dahil)
13.30.02,Tekstil elyaf ve ipliklerini ağartma ve boyama hizmetleri (kasarlama dahil)
13.30.03,"Kumaş ve tekstil ürünlerine baskı yapılması hizmetleri (giyim eşyası dahil, emprime baskı dahil, transfer baskı hariç)"
13.30.04,"Kumaş ve tekstil ürünlerine ilişkin diğer bitirme hizmetleri (apreleme, pliseleme, sanforlama, vb. dahil)"
13.30.05,Kumaş ve tekstil ürünlerine transfer baskı yapılması hizmetleri
13.30.06,Serigrafi faaliyetleri
13.9,Diğer tekstil ürünlerinin imalatı
13.91,Örgü (triko) veya tığ işi (kroşe) kumaşların imalatı
13.91.01,"Örgü ve tığ işi kumaşların imalatı (penye ve havlı kumaşlar ile raschel veya benzeri makineler ile örülen tül kumaş, perdelik kumaş vb. örgü veya tığ ile örülmüş kumaşlar dahil)"
13.91.02,Örme yoluyla imitasyon kürk kumaşı imalatı
13.92,Ev tekstili ve hazır mefruşat ürünleri imalatı
13.92.01,"Yatak örtü takımları, yatak çarşafları, yastık kılıfları, masa örtüsü ile tuvalet ve mutfakta kullanılan örtülerin imalatı (el ve yüz havluları dahil)"
13.92.02,"Yorgan, kuştüyü yorgan, minder, puf, yastık, halı yastık, uyku tulumu ve benzerlerinin imalatı"
13.92.03,"Perdelerin ve iç storların, perde veya yatak saçaklarının, farbelalarının ve malzemelerinin imalatı (gipür, hazır tül perde ve kalın perdeler dahil)"
13.92.04,"Tekstilden yer bezi, bulaşık bezi, toz bezi vb. temizlik bezleri imalatı"
13.92.05,Battaniye imalatı
13.92.06,"Tekstilden çuval, torba, çanta ve benzerlerinin imalatı"
13.92.09,"Bayrak, sancak ve flama imalatı"
13.92.11,"Branda, tente, stor (güneşlik), yelken, çadır ve kamp malzemeleri imalatı (şişme yataklar dahil)"
13.93,Halı ve kilim imalatı
13.93.01,"Halı (duvar halısı dahil) ve kilim imalatı (paspas, yolluk ve benzeri tekstil yer kaplamaları dahil)"
13.93.02,"Halı, kilim vb. için çözgücülük, halı oymacılığı vb. faaliyetler"
13.94,"Halat, urgan, kınnap ve ağ imalatı"
13.94.02,"Ağ ve ağ ürünleri imalatı, sicim, kınnap, halat veya urgandan (balık ağı, yük boşaltma ağları, vb.)"
13.94.03,"Sicim, urgan, halat, kordon ve benzerleri imalatı (kauçuk veya plastik emdirilmiş, kaplanmış olanlar dahil)"
13.95,Dokusuz kumaşların ve dokusuz kumaştan yapılan ürünlerin imalatı
13.95.01,Dokusuz kumaş ve dokusuz kumaştan yapılan ürünlerin imalatı (giyim eşyası hariç)
13.96,Diğer teknik ve endüstriyel tekstillerin imalatı
13.96.01,Dokunabilir ipliklerden metalize iplik ve metalize iplik ile bunlardan dokuma kumaş imalatı (giyim ve döşemecilikte kullanılan)
13.96.02,Tekstil malzemelerinden parça halinde kordonlar; işleme yapılmamış şeritçi eşyası ve benzeri süs eşyalarının imalatı
13.96.03,"Dar dokuma kumaşların imalatı (etiket, arma ve diğer benzeri eşyalar hariç)"
13.96.04,"Tekstil malzemelerinden dokuma etiket, rozet, arma ve diğer benzeri eşyaların imalatı"
13.96.05,"Teknik kullanım amaçlı tekstil ürünleri ve eşyaları imalatı (fitil, lüks lambası gömleği, tekstil malzemesinden hortumlar, taşıma veya konveyör bantları, elek bezi ve süzgeç bezi dahil)"
13.96.06,Kord bezi imalatı
13.96.07,Tekstille kaplanmış kauçuk iplik veya kordon ile kauçuk veya plastikle kaplanmış veya emdirilmiş tekstilden iplik veya şeritler ve bunlardan yapılmış mensucat imalatı
13.96.08,"Kaplanmış veya emdirilmiş tekstil kumaşlarının imalatı (cilt kapağı için mensucat, mühendis muşambası, tiyatro dekorları, tuval vb. dahil)"
13.96.09,Cam elyafından kumaş imalatı
13.96.10,Can yeleği ve can kurtaran simidi imalatı
13.96.11,Paraşüt (yönlendirilebilen paraşütler dahil) ve rotoşüt ile bunların parçalarının imalatı
13.96.12,"Tekstilden örtü ve kılıf imalatı (araba, makine, mobilya vb. için)"
13.99,Başka yerde sınıflandırılmamış diğer tekstillerin imalatı
13.99.02,"Oya, dantel ve nakış imalatı (kapitone ürünleri dahil) ile tül ve diğer ağ kumaşların (dokuma, örgü (triko) veya tığ işi (kroşe) olanlar hariç) imalatı"
13.99.03,"Keçe, basınçlı hassas giysi dokumaları, tekstilden ayakkabı bağı, pudra ponponu vb. imalatı"
13.99.04,"Tekstil kırpıntısı imalatı (yatak, yorgan, yastık, şilte ve benzeri doldurmak için)"
13.99.06,"Gipe iplik ve şeritlerin, şönil ipliklerin, şenet ipliklerin imalatı (metalize olanlar ile gipe lastikler hariç)"
14,Giyim eşyalarının imalatı
14.1,Örme (trikotaj) ve tığ işi (kroşe) giyim eşyası imalatı
14.10,Örme (trikotaj) ve tığ işi (kroşe) giyim eşyası imalatı
14.10.01,Giyim eşyası imalatı (örgü veya tığ işi kumaştan olanlar) (spor ve bebek giysileri hariç)
14.10.02,Bebek giyim eşyası imalatı (örgü veya tığ işi kumaştan)
14.10.03,"Spor ve antrenman giysileri, kayak kıyafetleri, yüzme kıyafetleri vb. imalatı (örgü veya tığ işi kumaştan olanlar)"
14.10.04,"Çorap imalatı (örme ve tığ işi olan külotlu çorap, tayt çorap, kısa kadın çorabı, erkek çorabı, patik ve diğer çoraplar)"
14.10.05,"Sahne ve gösteri elbiseleri imalatı, dokuma, örgü (triko) ve tığ işi (kroşe), vb. kumaştan olanlar"
14.2,Diğer giyim eşyası ve aksesuar imalatı
14.21,Dış giyim imalatı
14.21.01,Dış giyim eşyası imalatı (örgü veya tığ işi olanlar hariç) (spor ve bebek giysileri hariç)
14.21.02,Bebek dış giyim eşyası imalatı (örgü veya tığ işi kumaştan olanlar hariç)
14.21.03,Gelinlik imalatı
14.21.04,"Siparişe göre ölçü alınarak dış giyim eşyası imalatı, dokuma, örgü (triko) ve tığ işi (kroşe), vb. kumaştan olanlar (terzilerin faaliyetleri) (giyim eşyası tamiri ile gömlek imalatı hariç)"
14.22,İç giyim imalatı
14.22.01,"Atlet, fanila, külot, slip, iç etek, kombinezon, jüp, jüpon, sütyen, korse vb. iç çamaşırı imalatı (örgü veya tığ işi kumaştan olanlar hariç)"
14.22.02,"Gecelik, sabahlık, pijama, bornoz ve ropdöşambır imalatı (örgü veya tığ işi kumaştan olanlar hariç)"
14.22.03,Bebek iç giyim eşyalarının imalatı (örgü veya tığ işi kumaştan olanlar hariç)
14.22.04,"Çorap bağları, jartiyer, pantolon askıları vb. iç giyim eşyalarının imalatı (her tür kumaştan)"
14.23,İş giysisi imalatı
14.23.00,İş giysisi imalatı (dikişsiz plastik olanlar ile ateşe dayanıklı ve koruyucu güvenlik kıyafetleri hariç)
14.24,Deri giysi ve kürk giysi imalatı
14.24.01,Deri giyim eşyası imalatı (deri ayakkabı hariç)
14.24.02,"Kürklü deriden giyim eşyası, giysi aksesuarları ve diğer eşyaların imalatı (kürkten şapka ve başlık hariç)"
14.29,Başka yerde sınıflandırılmamış diğer giyim eşyası ve aksesuarların imalatı
14.29.01,Giyim eşyası imalatı (keçeden veya diğer dokusuz kumaştan ya da emdirilmiş veya kaplanmış tekstil kumaşından olanlar)
14.29.02,"Spor ve antrenman giysileri, kayak kıyafetleri, yüzme kıyafetleri vb. imalatı (örgü veya tığ işi kumaştan olanlar hariç)"
14.29.03,"Yazma, tülbent, eşarp, vb. imalatı (her tür kumaştan)"
14.29.04,"Eldiven, kemer, şal, papyon, kravat, saç fileleri, kumaş mendil, atkı, fular vb. giysi aksesuarları imalatı (kürklü deriden olanlar hariç)"
14.29.05,"Şapka, kep, başlık, kasket ve el manşonları ile bunların parçalarının imalatı (kürkten şapka ve başlıklar dahil)"
15,Diğer malzemelerden deri ve ilgili ürünlerin imalatı
15.1,"Deri ve kürkün tabaklanması, boyanması, işlenmesi; bavul, el çantası, saraçlık ve koşum takımı imalatı"
15.11,"Deri ve kürkün tabaklanması, işlenmesi ve boyanması"
15.11.10,"Deri ve kürklü deri imalatı (kürkün ve derinin tabaklanması, sepilenmesi, boyanması, cilalanması ve işlenmesi)(işlenmiş derinin başka işlemlere tabi tutulmaksızın yalnızca tamburda ütülenmesi ve kurutulması hariç)"
15.11.11,"Kürklü derinin ve postların kazınarak temizlenmesi, kırkılması, tüylerinin yolunması ve ağartılması (postlu derilerin terbiyesi dahil)"
15.11.13,"Deri ve kösele esaslı terkip ile elde edilen levha, yaprak, şerit deri ve kösele imalatı"
15.11.14,İşlenmiş derinin başka işlemlere tabi tutulmaksızın yalnızca tamburda ütülenmesi ve kurutulması
15.12,"Bavul, el çantası, saraçlık ve koşum takımı imalatı (her tür malzemeden)"
15.12.07,"Deri, kösele, karma deri ve diğer malzemelerden bavul ve çanta, deriden sigaralık, deri ayakkabı bağı, kişisel bakım, dikiş vb. amaçlı seyahat seti vb. ürünlerin imalatı"
15.12.08,"Deriden veya diğer malzemelerden saraçlık ve koşum takımı imalatı (kamçı, semer, eyer, tasma kayışı, heybe vb.)"
15.12.09,Deri saat kayışı imalatı
15.12.10,Plastik veya kauçuk saat kayışı imalatı
15.12.11,Kumaş ve diğer malzemelerden saat kayışı imalatı (metal olanlar hariç)
15.12.99,Deriden veya deri bileşimlerinden başka yerde sınıflandırılmamış diğer ürünlerin imalatı (makinelerde veya mekanik cihazlarda kullanılan veya diğer teknik kullanımlar için ürünler dahil)
15.2,"Ayakkabı, bot, terlik vb. imalatı"
15.20,"Ayakkabı, bot, terlik vb. imalatı"
15.20.05,Ayakkabı ve terliklerin ahşap parçalarının imalatı
15.20.06,Ayakkabı ve terliklerin kauçuk parçalarının imalatı
15.20.07,Ayakkabı ve terliklerin plastik parçalarının imalatı
15.20.15,"Deriden ayakkabı, mes, bot, çizme, postal, terlik, vb. imalatı (ortopedik ayakkabı ve kayak ayakkabısı hariç)"
15.20.17,"Plastik veya kauçuktan ayakkabı, bot, çizme, postal, terlik, vb. imalatı (ortopedik ayakkabı ve kayak ayakkabısı hariç)"
15.20.18,"Tekstilden ve diğer malzemelerden ayakkabı, mes, bot, çizme, postal, terlik, vb. imalatı (tamamıyla tekstilden olanlar ile ortopedik ayakkabı ve kayak ayakkabısı hariç)"
15.20.19,Ayakkabı ve terliklerin deri parçalarının imalatı ile sayacılık faaliyetleri
16,"Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç); saz, saman ve benzeri malzemelerden örülerek yapılan eşyaların imalatı"
16.1,Ağaçların biçilmesi ve planyalanması; ahşabın işlenmesi ve bitirilmesi
16.11,Ağaçların biçilmesi ve planyalanması
16.11.01,"Kereste imalatı (ağaçların biçilmesi, planyalanması, rendelenmesi ve şekillendirilmesi faaliyetleri)"
16.11.02,Ahşap demir yolu veya tramvay traversi imalatı
16.11.03,"Ağaç yünü, ağaç unu, ağaç talaşı, ağaç yonga imalatı"
16.11.04,Ahşap döşemelerin ve yer döşemelerinin imalatı (birleştirilebilir parkeler hariç)
16.12,Ahşabın işlenmesi ve bitirilmesi
16.12.00,Ahşabın işlenmesi ve bitirilmesi (bir ücret veya sözleşmeye dayalı olarak gerçekleştirilen)
16.2,"Ağaç, mantar, kamış ve örgü malzeme ürünü imalatı"
16.21,Ahşap kaplama paneli ve ağaç esaslı panel imalatı
16.21.01,"Ahşap, bambu ve diğer odunsu malzemelerden kaplamalık plaka, levha, vb. imalatı (yaprak halde) (preslenmemiş)"
16.21.02,"Sıkıştırılmış lif, tahta ve tabakalardan kontrplak, MDF, sunta, OSB, CLT vb. levha imalatı"
16.22,Birleştirilmiş parke yer döşemelerinin imalatı
16.22.01,Birleştirilmiş parke yer döşemelerinin imalatı
16.23,Diğer bina doğramacılığı ve marangozluk ürünlerinin imalatı
16.23.02,Ahşap prefabrik yapılar ve ahşap taşınabilir evlerin imalatı
16.23.99,Başka yerde sınıflandırılmamış diğer inşaat doğrama ve marangozluk ürünleri imalatı
16.24,Ahşap konteyner imalatı
16.24.02,"Palet, kutu palet ve diğer ahşap yükleme tablaları imalatı"
16.24.90,Diğer ahşap konteyner imalatı
16.25,Ahşap kapı ve pencere imalatı
16.25.00,Ahşap kapı ve pencere imalatı
16.26,Bitkisel biyokütleden katı yakıt imalatı
16.26.00,Bitkisel biyokütleden katı yakıt imalatı
16.27,Ahşap ürünlerin bitirilmesi
16.27.00,Ahşap ürünlerin bitirilmesi
16.28,"Diğer ağaç ürünleri imalatı; mantardan, saz, saman ve benzeri örme malzemelerinden yapılmış ürünlerin imalatı"
16.28.01,"Ahşap mutfak ve sofra eşyası imalatı (kaşık, kepçe, spatula, bardak, havan, havan eli, tepsi vb.)"
16.28.02,"Ahşap çerçeve ve ahşaptan diğer eşyaların imalatı (panolar, tuval için çerçeveler, ip vb. için makaralar, arı kovanları, köpek kulübeleri dahil)"
16.28.03,"Ahşaptan iş aletleri, alet gövdeleri, alet sapları, süpürge veya fırça gövdeleri ile sapları, ayakkabı kalıpları, ahşap mandal, elbise ve şapka askıları imalatı"
16.28.04,"Hasır veya diğer örme malzemesinden (kamış, saz, saman vb.) eşyaların imalatı ile sepet türü ve hasır işi eşyaların imalatı"
16.28.05,"Sedef kakma ahşap işleri, kakma ile süslü ahşap eşyalar, mücevher için veya çatal-kaşık takımı ve benzeri eşyalar için ahşap kutular, ahşap biblo, heykel ve diğer süslerin imalatı"
